[Log] 1 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:51 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 24 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:52 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 25 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:53 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 26 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:54 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 27 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:55 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 28 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:56 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36660654940211 (try.html, line 34)
[Log] Longitude: -75.77898739844167 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 29 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:57 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36657633264117 (try.html, line 34)
[Log] Longitude: -75.77906451195085 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 30 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:58 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.366554874969054 (try.html, line 34)
[Log] Longitude: -75.77910860076153 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 31 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:36:59 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36654016472899 (try.html, line 34)
[Log] Longitude: -75.77914187691712 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 32 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:00 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.366490711500276 (try.html, line 34)
[Log] Longitude: -75.77924053191745 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 33 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:01 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36643865988158 (try.html, line 34)
[Log] Longitude: -75.77936785302663 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 34 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:02 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.366386524443854 (try.html, line 34)
[Log] Longitude: -75.77951914637887 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 35 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:03 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36634914115571 (try.html, line 34)
[Log] Longitude: -75.77967521741593 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 36 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:04 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36626801862008 (try.html, line 34)
[Log] Longitude: -75.7797803404901 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 37 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:05 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36621634495355 (try.html, line 34)
[Log] Longitude: -75.77990000721911 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 38 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:06 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.366164385996115 (try.html, line 34)
[Log] Longitude: -75.78001724123169 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 39 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:07 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.366116689087754 (try.html, line 34)
[Log] Longitude: -75.78012547288381 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 40 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:08 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36606812306455 (try.html, line 34)
[Log] Longitude: -75.78023567592027 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 41 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:09 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.366013369955475 (try.html, line 34)
[Log] Longitude: -75.78035991766228 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 42 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:10 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36595125057745 (try.html, line 34)
[Log] Longitude: -75.78050087573502 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 43 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:11 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.365890698599 (try.html, line 34)
[Log] Longitude: -75.78063827673759 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 44 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:12 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.365828262555894 (try.html, line 34)
[Log] Longitude: -75.78077995251078 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 45 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:13 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36575036152325 (try.html, line 34)
[Log] Longitude: -75.7809551421451 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 46 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:14 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36566934843936 (try.html, line 34)
[Log] Longitude: -75.78113732199199 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 47 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:15 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36560647186014 (try.html, line 34)
[Log] Longitude: -75.78127871634933 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 48 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:16 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36553397042988 (try.html, line 34)
[Log] Longitude: -75.78144175517082 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 49 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:17 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36546527051629 (try.html, line 34)
[Log] Longitude: -75.78159624412365 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 50 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:18 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36540001511371 (try.html, line 34)
[Log] Longitude: -75.78174298832892 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 51 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:19 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36531562271978 (try.html, line 34)
[Log] Longitude: -75.78193276607635 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 52 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:20 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36523762068416 (try.html, line 34)
[Log] Longitude: -75.78210817311628 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 53 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:21 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36515847938622 (try.html, line 34)
[Log] Longitude: -75.78228614154796 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 54 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:22 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36508977763638 (try.html, line 34)
[Log] Longitude: -75.78244063459351 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 55 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:23 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36502105878015 (try.html, line 34)
[Log] Longitude: -75.78259516529215 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 56 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:24 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.364949811238795 (try.html, line 34)
[Log] Longitude: -75.78275538275193 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 57 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:25 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.364879674243106 (try.html, line 34)
[Log] Longitude: -75.78291619856827 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 58 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:26 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36480988130142 (try.html, line 34)
[Log] Longitude: -75.78307341303116 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 59 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:27 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36473375984432 (try.html, line 34)
[Log] Longitude: -75.7832465187721 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 60 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:28 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.364656674871505 (try.html, line 34)
[Log] Longitude: -75.78341935328808 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 61 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:29 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.364580560109495 (try.html, line 34)
[Log] Longitude: -75.78360368105905 (try.html, line 35)
[Log] Accuracy: 10 (try.html, line 36)
[Log] 62 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:30 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36454138859744 (try.html, line 34)
[Log] Longitude: -75.78369859373197 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 63 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:31 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.364475514236 (try.html, line 34)
[Log] Longitude: -75.78385705885012 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 64 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:32 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.364423631893985 (try.html, line 34)
[Log] Longitude: -75.78398186538834 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 65 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:33 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36436737731578 (try.html, line 34)
[Log] Longitude: -75.78411719056021 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 66 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:34 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.364295925133185 (try.html, line 34)
[Log] Longitude: -75.78428907261696 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 67 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:35 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36423543717519 (try.html, line 34)
[Log] Longitude: -75.784432587825 (try.html, line 35)
[Log] Accuracy: 10 (try.html, line 36)
[Log] 68 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:36 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36419978310666 (try.html, line 34)
[Log] Longitude: -75.78453209923822 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 69 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:37 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36414801153148 (try.html, line 34)
[Log] Longitude: -75.78463867852406 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 70 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:38 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36409216201614 (try.html, line 34)
[Log] Longitude: -75.78477046365151 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
[Log] 71 (try.html, line 32)
[Log]  Time:Wed Feb 05 2014 19:37:39 GMT-0500 (EST) (try.html, line 33)
[Log]  Latitude:45.36401210400069 (try.html, line 34)
[Log] Longitude: -75.78496204187104 (try.html, line 35)
[Log] Accuracy: 5 (try.html, line 36)
